rank,name,score,mumbers
73,Code Geass 反叛的鲁路修,8.3,6797
74,乒乓,8.3,3024
75,少女革命,8.3,1094
76,物怪,8.3,1771
77,水星领航员 第二季,8.3,940
78,星际牛仔 天国之扉,8.3,1501
79,皇家国教骑士团 OVA,8.3,1921
80,日常,8.3,6248
81,棋魂,8.3,2150
82,王牌投手 振臂高挥～夏日大会篇～,8.3,932
83,爆漫王。3,8.3,1841
84,瑞克和莫蒂 第二季,8.5,238
85,机器人总动员,8.3,2134
86,机动战士高达 逆袭的夏亚,8.3,819
87,FLCL,8.3,1748
88,飞跃巅峰！,8.3,1349
89,新世纪福音战士剧场版 死与新生,8.3,2562
90,龙猫,8.2,3394
91,电脑线圈,8.3,1784
92,∀高达,8.3,675
93,虫师 蚀日之翳,8.3,1263
94,太空丹迪 第二季,8.3,1121
95,水星领航员,8.3,1412
96,瑞克和莫蒂 第一季,8.4,301
49,盗梦侦探,8.4,2522
50,空之境界 第五章 矛盾螺旋,8.3,4123
51,JOJO的奇妙冒险,8.4,3112
52,百变之星,8.4,681
53,福音战士新剧场版：序,8.3,4412
54,风之谷,8.3,2612
55,银魂' 延长战,8.4,2116
56,水星领航员 OVA,8.4,541
57,数码兽大冒险,8.3,2945
58,JOJO的奇妙冒险 星尘斗士 埃及篇,8.4,1855
59,棒球英豪,8.4,952
60,四叠半神话大系,8.3,3041
61,钢之炼金术师,8.3,4039
62,攻壳机动队 S.A.C. Solid State Society,8.4,1169
63,虫师 续章 铃之雫,8.4,595
64,昭和元禄落语心中 -助六再临篇-,8.4,475
65,排球少年 第二季,8.3,1250
66,夏目友人帐 参,8.3,4568
67,永生之酒,8.3,4039
68,王牌投手 振臂高挥,8.3,1267
69,十二国记,8.3,1713
70,猎人,8.3,1896
71,哆啦A梦 大山版,8.5,322
72,哆啦A梦,8.3,1068
97,全金属狂潮 校园篇,8.2,3103
98,Heart Catch 光之美少女!,8.3,442
99,化物语,8.2,7386
100,Fate/Zero,8.2,9023
101,东京教父,8.2,1470
102,秒速5厘米,8.2,7061
103,终物语(下),8.3,474
104,回忆三部曲,8.2,956
105,来自新世界,8.2,4084
106,你的名字。,8.2,3694
107,魔法少女小圆 剧场版 [新篇] 叛逆的物语,8.2,3064
108,幸运星,8.2,5516
109,交响诗篇,8.2,1740
110,JOJO的奇妙冒险 星尘斗士,8.2,2188
111,龙珠,8.2,1899
112,宇宙兄弟,8.2,1051
113,歌牌情缘,8.2,2727
114,夏目友人帐,8.1,4880
115,监狱兔 第一季,8.2,1985
117,机动战士高达 第08MS小队,8.2,1193
118,飞跃巅峰2！,8.2,1228
119,银魂°,8.2,1345
120,白兔糖,8.1,4397
121,续 夏目友人帐,8.1,3693
25,命运石之门,8.5,8849
26,千与千寻,8.5,6058
27,蜂蜜与四叶草,8.5,2610
28,蜂蜜与四叶草II,8.5,1846
29,虫师 续章 第2期,8.5,1206
30,混沌武士,8.5,2598
31,天空之城,8.5,4062
32,水星领航员 The AVVENIRE,8.6,370
33,虫师 续章,8.5,1693
34,千年女优,8.5,2611
35,少女与战车 剧场版,8.5,1804
36,攻壳机动队2.0,8.5,1127
37,CLANNAD,8.4,6989
38,机动警察 和平保卫战,8.6,426
39,星空清理者,8.4,1343
40,排球少年 乌野高校 VS 白鸟泽学园高校,8.4,983
41,歌牌情缘2,8.4,1961
42,机动战士Z高达,8.4,958
43,怪物,8.4,1192
44,魔法少女小圆,8.4,9677
45,死亡笔记,8.4,5414
46,幽灵公主,8.4,3045
47,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,8.4,1560
48,机动战士高达0080 口袋里的战争,8.4,1169
1,星际牛仔,9.1,3833
2,攻壳机动队 S.A.C. 2nd GIG,9.1,2415
3,攻壳机动队 STAND ALONE COMPLEX,9.0,3136
4,新世纪福音战士,9.0,8440
5,CLANNAD ～AFTER STORY～,8.9,7261
6,银魂',8.9,6625
7,银魂,8.8,6202
8,攻壳机动队,8.9,2496
9,灌篮高手,8.8,4524
10,新世纪福音战士剧场版 Air/真心为你,8.8,3830
11,白箱,8.8,4949
12,浪客剑心 追忆篇,8.8,2041
13,虫师,8.7,4587
14,钢之炼金术师 FULLMETAL ALCHEMIST,8.7,5969
15,福音战士新剧场版：破,8.7,4806
16,银河英雄传说,8.8,726
17,水星领航员 第三季,8.6,936
18,攻壳机动队2 无罪,8.6,1909
19,猫和老鼠,8.6,1918
20,海贼王,8.6,4458
21,天元突破 红莲螺岩,8.6,3703
22,蓝色恐惧,8.6,1882
23,凉宫春日的消失,8.5,6292
24,大闹天宫,8.6,1715
122,搞笑漫画日和,8.1,3026
123,爆漫王。2,8.2,2187
124,凉宫春日的忧郁,8.1,6055
125,空之境界 第七章 杀人考察（后）,8.1,3449
127,天元突破红莲螺岩 螺岩篇,8.2,1159
129,AIR,8.1,4753
130,猎人 OVA,8.2,661
131,小马驹G4 第二季,8.4,142
132,攻壳机动队 S.A.C. SSS 3D,8.2,376
133,Code Geass 反叛的鲁路修R2,8.1,5840
134,心灵游戏,8.2,530
135,排球少年,8.1,2022
136,海马,8.2,652
137,龙与虎,8.1,6710
138,攻壳机动队 笑面男,8.2,400
139,夏目友人帐 肆,8.1,2856
140,小马驹G4 第一季,8.3,211
141,寒蝉鸣泣之时 解,8.1,3684
142,攻壳机动队 个别的十一人,8.2,374
143,黑客帝国动画版,8.1,748
144,伤物语III 冷血篇,8.2,599
145,狮子王,8.1,1248
146,穿越时空的少女,8.1,4858
147,宇宙战舰大和号2199,8.2,744
148,夏日大作战,8.1,4808
149,冰菓,8.1,7219
150,百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,8.3,227
151,回忆积木小屋,8.2,588
152,山水情,8.3,175
153,超时空要塞 可曾记得爱,8.1,669
154,怪诞小镇 第二季,8.4,127
155,悠久之翼2,8.1,2161
156,日本动画（人）博览会,8.2,533
157,老人与海,8.3,227
158,少女革命剧场版 思春期默示录,8.2,493
159,吹响！悠风号,8.1,3760
160,欢迎加入NHK！,8.1,2319
161,小魔女DoReMi 童年秘密篇,8.6,83
162,奇诺之旅,8.1,1283
163,吊带袜天使,8.1,3253
164,黑礁 The Second Barrage,8.1,1928
165,无限的未知,8.1,639
166,寒蝉鸣泣之时,8.1,4356
167,昭和元禄落语心中,8.1,1072
168,疯狂约会美丽都,8.2,237
169,装甲骑兵VOTOMS,8.3,146
170,一拳超人,8.1,3405
171,狼的孩子雨和雪,8.1,2600
172,超时空要塞,8.1,589
173,机动战士高达 THE ORIGIN,8.1,377
174,无头骑士异闻录,8.1,6445
175,妄想代理人,8.1,1354
176,空之境界 第三章 痛觉残留,8.0,3776
177,四月是你的谎言,8.0,3696
179,勇者王GaoGaiGar Final,8.3,140
180,机动警察 OVA2,8.3,142
181,精灵守护者,8.1,764
182,空之境界 第一章 俯瞰风景,8.0,4080
183,校园迷糊大王,8.0,1736
184,龙珠Z,8.1,910
185,魔卡少女樱,8.0,3182
186,福星小子2 绮丽梦中人,8.3,125
187,交响情人梦,8.0,1388
188,蓝宝石之谜,8.1,714
189,吹响！悠风号 第二季,8.0,1865
190,机动战舰,8.1,686
191,回转企鹅罐,8.0,4711
192,DARKER THAN BLACK -黑之契约者-,8.0,4092
193,萩萩公主,8.2,198
194,麻辣教师GTO,8.1,696
195,搞笑漫画日和3,8.0,1673
196,罗小黑战记,8.1,589
197,星界的纹章,8.1,260
198,监狱兔 第4季,8.0,1068
199,小马驹G4 第四季,8.4,98
200,勇者王GaoGaiGar Final Grand Glorious Gathering,8.3,123
201,搞笑漫画日和2,8.0,1644
202,机动战士高达,8.0,1030
203,少年同盟 2,8.0,1513
204,人狼,8.0,552
205,来自深渊,8.0,580
206,悠久之翼,8.0,2498
207,星游记 第一季,8.1,517
208,3月的狮子,8.0,1300
209,太空丹迪,8.0,1496
210,向阳素描 沙英・寻 毕业篇,8.1,220
211,悠哉日常大王,8.0,3100
212,爆漫王。,8.0,3004
213,天体战士,8.0,892
214,男子高中生的日常,8.0,6102
215,魔法少女奈叶 The MOVIE 2nd A’s,8.0,769
216,秀逗魔导士NEXT,8.0,724
217,银之匙 Silver Spoon 第二季,8.0,1840
218,超时空要塞Plus,8.0,464
219,×××HOLiC◆继,8.0,1396
220,悠哉日常大王 Repeat,8.0,1776
221,夏娃的时间,8.0,1471
222,宇宙骑士BLADE,8.1,381
223,机动警察,8.0,348
224,最终流放,8.0,1216
225,红猪,8.0,1338
226,银之匙 Silver Spoon,8.0,2555
227,机动战舰 -The prince of darkness-,8.0,508
228,赌博默示录,8.0,1317
229,夏娃的时间 剧场版,8.0,1452
230,JOJO的奇妙冒险 不灭钻石,8.0,1195
231,交响情人梦Finale,8.0,952
232,灵异E接触,7.9,2424
233,银魂剧场版 完结篇 万事屋永不落,8.0,1608
234,降世神通：最后的气宗 第三季,8.1,262
235,银魂 JUMP动画巡回展 2005,8.0,533
236,我们仍未知道那天所看见的花的名字。,7.9,8855
237,黑礁,8.0,2258
238,重金属摇滚双面人,8.0,440
239,超智游戏,8.0,670
240,月色真美,8.0,1664
241,月刊少女野崎君,7.9,5387
242,疯狂动物城,8.0,1380
243,物语系列 第二季,7.9,3061
244,天体战士 第2期,8.0,603
245,少年同盟,8.0,2133
246,有顶天家族,7.9,2594
247,全金属狂潮 The Second Raid,7.9,2406
248,热带雨林的爆笑生活,7.9,1547
249,校园迷糊大王 二学期,7.9,1214
250,魔术师,8.2,123
251,猎人 OVA3,8.0,518
252,空之境界 第二章 杀人考察（前）,7.9,3639
253,魔法少女小圆 剧场版 [后篇] 永远的物语,7.9,1636
254,JOJO的奇妙冒险 幻影血脉,8.1,184
255,娜娜,7.9,1230
256,异邦人 无皇刃谭,7.9,1449
257,摇滚新乐团,8.0,362
258,希德尼娅的骑士 第九惑星战役,7.9,1639
259,红线,8.0,628
260,降世神通：最后的气宗 第二季,8.0,254
261,苍穹之法芙娜 EXODUS,8.0,553
262,猎人 OVA2,8.0,542
263,THE BIG-O,8.0,328
264,幽游白书,8.0,918
265,怪诞小镇 第一季,8.1,168
266,银河铁道999,8.4,70
267,热带雨林的爆笑生活DELUXE,8.0,616
268,吸血鬼猎人D,8.0,634
269,机动战士高达UC,7.9,1688
270,银魂剧场版 新译红樱篇,7.9,2250
271,热带雨林的爆笑生活FINAL,8.0,598
272,天元突破红莲螺岩 红莲篇,7.9,1089
273,南方公园 第16季,8.0,217
