rank,name,type,episode,time,score,mumbers
1,Fullmetal Alchemist: Brotherhood,TV ,64 eps,Apr 2009 - Jul 2010,9.25,"980,506"
2,Kimi no Na wa.,Movie ,1 eps,Aug 2016 - Aug 2016,9.25,"475,398"
3,Owarimonogatari 2nd Season,TV ,7 eps,Aug 2017 - Aug 2017,9.24,"61,111"
4,Gintama°,TV ,51 eps,Apr 2015 - Mar 2016,9.20,"156,441"
5,Steins;Gate,TV ,24 eps,Apr 2011 - Sep 2011,9.15,"835,569"
6,Gintama&#039;,TV ,51 eps,Apr 2011 - Mar 2012,9.13,"183,424"
7,Hunter x Hunter (2011),TV ,148 eps,Oct 2011 - Sep 2014,9.12,"568,204"
8,Ginga Eiyuu Densetsu,OVA ,110 eps,Jan 1988 - Mar 1997,9.11,"100,385"
9,Gintama&#039;: Enchousen,TV ,13 eps,Oct 2012 - Mar 2013,9.08,"102,057"
10,Koe no Katachi,Movie ,1 eps,Sep 2016 - Sep 2016,9.08,"306,232"
11,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie ,1 eps,Jul 2013 - Jul 2013,9.06,"89,595"
12,Gintama.,TV ,12 eps,Jan 2017 - Mar 2017,9.04,"65,248"
13,Clannad: After Story,TV ,24 eps,Oct 2008 - Mar 2009,9.03,"533,121"
14,Gintama,TV ,201 eps,Apr 2006 - Mar 2010,9.02,"398,619"
15,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV ,10 eps,Oct 2016 - Dec 2016,9.02,"183,483"
16,Code Geass: Hangyaku no Lelouch R2,TV ,25 eps,Apr 2008 - Sep 2008,8.96,"681,777"
17,Kizumonogatari III: Reiketsu-hen,Movie ,1 eps,Jan 2017 - Jan 2017,8.93,"79,213"
18,Sen to Chihiro no Kamikakushi,Movie ,1 eps,Jul 2001 - Jul 2001,8.93,"585,747"
19,Haikyuu!! Second Season,TV ,25 eps,Oct 2015 - Mar 2016,8.90,"259,898"
20,Shigatsu wa Kimi no Uso,TV ,22 eps,Oct 2014 - Mar 2015,8.90,"567,076"
21,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV ,12 eps,Jan 2017 - Mar 2017,8.89,"52,297"
22,Mushishi Zoku Shou 2nd Season,TV ,10 eps,Oct 2014 - Dec 2014,8.85,"97,226"
23,Boku no Hero Academia 2nd Season,TV ,25 eps,Apr 2017 - Sep 2017,8.83,"315,203"
24,Cowboy Bebop,TV ,26 eps,Apr 1998 - Apr 1999,8.81,"592,128"
25,Hajime no Ippo,TV ,75 eps,Oct 2000 - Mar 2002,8.81,"192,254"
26,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA ,4 eps,Feb 1999 - Sep 1999,8.81,"148,637"
27,Code Geass: Hangyaku no Lelouch,TV ,25 eps,Oct 2006 - Jul 2007,8.80,"850,319"
28,Mononoke Hime,Movie ,1 eps,Jul 1997 - Jul 1997,8.80,"424,258"
29,Ookami Kodomo no Ame to Yuki,Movie ,1 eps,Jul 2012 - Jul 2012,8.80,"292,879"
30,Natsume Yuujinchou Roku,TV ,11 eps,Apr 2017 - Jun 2017,8.79,"44,798"
31,Mushishi Zoku Shou,TV ,10 eps,Apr 2014 - Jun 2014,8.78,"124,076"
32,Monogatari Series: Second Season,TV ,26 eps,Jul 2013 - Dec 2013,8.77,"255,887"
33,Suzumiya Haruhi no Shoushitsu,Movie ,1 eps,Feb 2010 - Feb 2010,8.77,"282,417"
34,Mushishi,TV ,26 eps,Oct 2005 - Jun 2006,8.76,"353,480"
35,One Punch Man,TV ,12 eps,Oct 2015 - Dec 2015,8.76,"781,237"
36,Great Teacher Onizuka,TV ,43 eps,Jun 1999 - Sep 2000,8.75,"314,466"
37,Tengen Toppa Gurren Lagann,TV ,27 eps,Apr 2007 - Sep 2007,8.75,"673,372"
38,Hajime no Ippo: New Challenger,TV ,26 eps,Jan 2009 - Jul 2009,8.74,"107,212"
39,Howl no Ugoku Shiro,Movie ,1 eps,Nov 2004 - Nov 2004,8.74,"406,772"
40,Kizumonogatari II: Nekketsu-hen,Movie ,1 eps,Aug 2016 - Aug 2016,8.74,"91,388"
41,Natsume Yuujinchou Shi,TV ,13 eps,Jan 2012 - Mar 2012,8.74,"117,558"
42,Mushishi Zoku Shou: Suzu no Shizuku,Movie ,1 eps,May 2015 - May 2015,8.72,"44,339"
43,Violet Evergarden,TV ,? eps,Jul 2017 -,8.70,"88,849"
44,Bakuman. 3rd Season,TV ,25 eps,Oct 2012 - Mar 2013,8.69,"158,792"
45,Fate/Zero 2nd Season,TV ,12 eps,Apr 2012 - Jun 2012,8.69,"420,469"
46,Monster,TV ,74 eps,Apr 2004 - Sep 2005,8.69,"299,649"
47,Death Note,TV ,37 eps,Oct 2006 - Jun 2007,8.68,"1,227,581"
48,Ansatsu Kyoushitsu (TV) 2nd Season,TV ,25 eps,Jan 2016 - Jul 2016,8.67,"275,965"
49,Haikyuu!!,TV ,25 eps,Apr 2014 - Sep 2014,8.67,"387,134"
50,Hajime no Ippo: Rising,TV ,25 eps,Oct 2013 - Mar 2014,8.67,"84,623"
